"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Git","Push","⇧⌘P","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Terminal view commands","Terminal view insert","⌥P","Terminal widget context"
"Git","Commit...","⌘L","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"File","New","⌘N","In Windows"
"Window","Next View","⌘F7","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Terminal view commands","Terminal view insert","⌥F","Terminal widget context"
"Window","Activate Editor","⌘F12","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Terminal view commands","Paste","⇧⌃V","Terminal widget context"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"View","Zoom In","⌘=","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Run XSLT Transformation","⌥⌘X X","In Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Window","Update Project","⌥F5","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Text Editing","Text End","⌘↘","Editing Text"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥H","Terminal widget context"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Project","Build All","⌘B","In Windows"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Text Editing","Text End","↘","Editing Text"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"MoreUnit","Jump to Test/Source","⌃9","Editing Text"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Terminal view commands","Copy","⇧⌃C","Terminal widget context"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Delete","⌦","In Windows"
"MoreUnit","Jump to Test/Source","⌃9","Editing Java Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Rerun JUnit Test","⇧⌃0","Editing Java Source"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"File","Properties","⌘I","In Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Navigate","Open Declaration","⌘4","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Search","Open Search Dialog","⌃H","In Windows"
"Text Editing","Collapse All","⌘[","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
